Date,nifty,ril,lt,tcs,inr/usd,,,
19-07-2022,0.003804518,0.006112093,0.001243621,0.003502939,0.003878536,,,
20-07-2022,0.010973459,0.026681117,0.005850529,0.02902878,-0.002181461,,,
21-07-2022,0.005095715,-0.00669427,0.027104065,0.003941944,0.001845362,,,
22-07-2022,0.006853755,0.006734228,0.00147186,-0.001984653,-0.002847691,,,
25-07-2022,-0.005304242,-0.033597186,0.00828124,-0.00134142,0.001263978,,,
26-07-2022,-0.008887334,0.000454442,-0.017658982,-0.016187609,-0.001933554,,,
27-07-2022,0.00953656,-0.000950331,0.025594002,0.023142214,0.001487784,,,
28-07-2022,0.017145897,0.015544924,0.002557021,0.022220326,7.76E-05,,,
29-07-2022,0.013415561,0.021081769,0.003768098,0.012617479,-0.003461251,,,
01-08-2022,0.010539792,0.02572775,0.003671166,-0.000939332,-0.004745365,,,
02-08-2022,0.000311279,0.00379878,-0.012002034,-0.00212433,-0.003023674,,,
03-08-2022,0.002458783,0.008360723,-0.001814192,0.01438665,-0.004458036,,,
04-08-2022,-0.000353774,-0.013305999,-0.005434366,0.004615712,0.006515271,,,
05-08-2022,0.00089133,-0.014845784,0.004120431,0.003006081,0.000462469,,,
08-08-2022,0.007307599,0.012997224,0.023334766,0.00278944,0.003225158,,,
10-08-2022,0.00055051,0.005961662,0.013840864,-0.006004175,-0.000295244,,,
11-08-2022,0.007060942,0.003324646,0.006447595,0.020143141,-0.006057618,,,
12-08-2022,0.002214568,0.016041202,-0.011148337,-0.006140095,0.00650486,,,
16-08-2022,0.007155855,0.006926322,0.001326041,-0.002605118,-0.00093855,,,
17-08-2022,0.006653738,0.005210234,0.003671032,0.002472831,-0.005127942,,,
18-08-2022,0.000682437,0.001560553,0.020719419,-0.005853515,0.002696426,,,
19-08-2022,-0.011090751,-0.017990395,0.021668467,0.001330068,0.005115412,,,
22-08-2022,-0.015192149,-0.00277759,-0.02903231,-0.009257786,0.001893725,,,
23-08-2022,0.004950409,0.01530471,-0.001916076,-0.021072727,-0.000426821,,,
24-08-2022,0.001560393,-0.002667226,0.008646341,-0.00894522,-0.000366811,,,
25-08-2022,-0.004697197,-0.002921189,-0.00819364,-0.011477489,-0.000722839,,,
26-08-2022,0.002078095,-0.005352321,0.014537822,0.001242089,0.00107838,,,
29-08-2022,-0.014109055,-0.007803553,-0.012622612,-0.028217068,0.000953472,,,
30-08-2022,0.025457455,0.015394934,0.021557073,0.02478188,0.000110104,,,
01-09-2022,-0.012265713,-0.029838635,-0.004979897,-0.025053214,-0.001676798,,,
02-09-2022,-0.000191069,-0.011746556,0.014299132,-0.000415296,0.002109675,,,
05-09-2022,0.007178026,0.015411242,0.014249965,0.000958054,9.67E-05,,,
06-09-2022,-0.00057762,0.010471116,-0.003078306,-0.002028493,0.00073344,,,
07-09-2022,-0.001768664,-0.005831814,-0.002142703,0.007185295,0.001404154,,,
08-09-2022,0.009843902,0.001412793,0.008289992,0.00634577,-0.003075002,,,
09-09-2022,0.001942048,-0.006246702,-0.01256343,0.015029892,0.000709049,,,
12-09-2022,0.00575908,0.011127629,0.006212242,0.007832199,-0.000633764,,,
13-09-2022,0.007426557,0.008317793,0.014899374,-0.004202434,-0.003779602,,,
14-09-2022,-0.003675845,-0.012058316,-0.018985419,-0.034319654,0.003109016,,,
15-09-2022,-0.007042702,-0.009959257,0.001840783,-0.005156896,-0.001869838,,,
16-09-2022,-0.019575203,-0.025090665,-0.019342976,-0.031296274,0.004964154,,,
19-09-2022,0.005200144,0.001299557,-0.004855507,0.006658488,-0.002000762,,,
20-09-2022,0.010948654,0.000159867,0.011448291,0.003789635,0.000225823,,,
21-09-2022,-0.005510159,0.002753072,-0.019356158,-0.012944023,0.000692371,,,
22-09-2022,-0.005010107,-0.009467986,-0.003937853,0.002063707,0.003604137,,,
23-09-2022,-0.017304541,-0.018922145,-0.016742468,-0.008464856,0.012556641,,,
26-09-2022,-0.018114401,-0.025806646,-0.00291237,0.004132786,0.002373091,,,
27-09-2022,-0.000523188,0.007918604,-0.005551578,0.007668295,0.004432975,,,
28-09-2022,-0.008787677,-0.026985805,-0.003127849,0.006013406,0.001332222,,,
29-09-2022,-0.002405225,-0.003070121,-0.010928793,-0.012713553,-0.003627248,,,
30-09-2022,0.016292313,0.022305601,0.017580719,0.002415854,0.000637105,,,
03-10-2022,-0.012183179,-0.003475694,-0.015489789,-0.006544888,0.000499415,,,
04-10-2022,0.022655095,0.018274691,0.028315158,0.034960165,-0.000322649,,,
06-10-2022,0.003323116,0.003681257,0.021879543,0.003487796,0.002247552,,,
07-10-2022,-0.000990023,0.004222914,0.00604566,-0.01201602,0.008539134,,,
10-10-2022,-0.004262718,-0.010975379,-0.007772185,0.017353293,0.00585176,,,
11-10-2022,-0.015044994,-0.020111119,-0.016206899,-0.015837287,-0.004981441,,,
12-10-2022,0.008212332,0.00733136,0.017044417,0.010113181,-0.00178266,,,
13-10-2022,-0.006400523,0.003173577,-0.018535658,0.000821984,-0.000898695,,,
14-10-2022,0.010020515,-0.005091085,0.018718719,-0.001338157,-9.61E-05,,,
17-10-2022,0.007310798,0.015922753,-0.014968109,0.006642006,0.002681612,,,
18-10-2022,0.010066449,0.017490134,0.018362622,0.010533311,-0.00264996,,,
19-10-2022,0.001445792,0.017249605,-0.006905529,-0.007292741,0.001114994,,,
20-10-2022,0.002947825,0.002682992,-0.000393852,0.011291428,0.008598639,,,
21-10-2022,0.000702987,-0.011664902,-0.014494108,-0.006322835,-0.002066097,,,
24-10-2022,0.008748972,0.003332355,0.017430738,0.007715452,-0.003439637,,,
25-10-2022,-0.00420495,-0.015565031,0.020395391,0.000126549,0.002664198,,,
27-10-2022,0.00455452,0.0039241,0.00764095,-0.001487544,-0.004811083,,,
28-10-2022,0.002806663,0.030139138,0.005585093,0.001851153,0.004777121,,,
31-10-2022,0.01259261,0.009240167,0.024037216,0.009407817,-0.002469012,,,
01-11-2022,0.007367844,-0.007776448,0.000667051,0.020627439,0.005938126,,,
02-11-2022,-0.003453153,0.006225911,-0.005522814,-0.00553737,-0.000537981,,,
03-11-2022,-0.001668739,0.003724908,-0.002287517,-0.010839898,0.002462911,,,
04-11-2022,0.00356381,0.014608207,0.003181086,0.003315648,-0.002495576,,,
07-11-2022,0.004716446,0.00532761,0.00126467,0.005053381,-0.008585211,,,
09-11-2022,-0.00251931,-0.000997955,-0.007037818,-0.005473116,-0.00515588,,,
10-11-2022,-0.007119006,-0.012170551,-0.012986335,-0.003239016,-0.000754459,,,
11-11-2022,0.017676028,0.022789851,0.016772513,0.033829325,-0.010639888,,,
14-11-2022,-0.001120473,-0.00485635,-0.005634641,0.005878478,0.000175166,,,
15-11-2022,0.004042741,-0.004496492,-0.001626479,-0.000869975,0.006130407,,,
16-11-2022,0.000339553,-0.005750341,0.003524832,0.006803373,0.000979947,,,
17-11-2022,-0.003577889,0.002581137,0.012868587,-0.001894284,0.005215062,,,
18-11-2022,-0.001978089,-0.000538878,-0.002516083,-0.001658647,0.00036317,,,
21-11-2022,-0.00810045,-0.018160957,-0.006442181,-0.018093261,-6.14E-05,,,
22-11-2022,0.004628602,0.005531793,0.009081413,0.009532635,0.00254585,,,
23-11-2022,0.001262661,-0.003123658,-0.002367558,-0.002008005,-0.000155442,,,
24-11-2022,0.011801043,0.008586261,0.013342685,0.021485655,-0.001005216,,,
